BARCODE;IFD_NBR;DONOR;TIMEPOINT;CONDITION
RIB0020665;21A;D3;0h;Medium
RIB0020659;21;D3;6h;Medium
RIB0020694;22;D3;6h;Beads
RIB0020700;23;D3;12h;Medium
RIB0020699;24;D3;12h;Beads
RIB0020684;25;D3;24h;Medium
RIB0020683;26;D3;24h;Beads
RIB0020657;27;D3;48h;Medium
RIB0032709;28;D3;48h;Beads
RIB0020627;29;D3;72h;Medium
RIB0020655;30;D3;72h;Beads
RIB0020696;31;D4;0h;Medium
RIB0020548;32;D4;6h;Medium
RIB0020648;33;D4;6h;Beads
RIB0020671;34;D4;12h;Medium
RIB0020649;35;D4;12h;Beads
RIB0020695;36;D4;24h;Medium
RIB0020650;37;D4;24h;Beads
RIB0020922;38;D4;48h;Medium
RIB0020978;39;D4;48h;Beads
RIB0020940;40;D4;72h;Medium
RIB0020908;41;D4;72h;Beads
RIB0020971;42;D5;0h;Medium
RIB0020918;43;D5;6h;Medium
RIB0020930;44;D5;6h;Beads
RIB0020960;45;D5;12h;Medium
RIB0020959;46;D5;12h;Beads
RIB0020923;47;D5;24h;Medium
RIB0020934;48;D5;24h;Beads
RIB0020941;49;D5;48h;Medium
RIB0020965;50;D5;48h;Beads
RIB0020919;51;D5;72h;Medium
RIB0020937;52;D5;72h;Beads
RIB0020932;53;D6;0h;Medium
RIB0020936;54;D6;6h;Medium
RIB0020935;55;D6;6h;Beads
RIB0020990;56;D6;12h;Medium
RIB0020950;57;D6;12h;Beads
RIB0020943;58;D6;24h;Medium
RIB0020917;59;D6;24h;Beads
RIB0020913;60;D6;48h;Medium
RIB0020967;61;D6;48h;Beads
RIB0020916;62;D6;72h;Medium
RIB0020901;63;D6;72h;Beads
